net,length_um
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[2\],33.88µm
_0449_,33.78µm
_0377_,33.7µm
o_transmit_data_request,33.68µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.byte_count_i\[2\],33.62µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[2\],33.08µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[0\],32.96µm
_0200_,32.8µm
io_scl,32.79µm
i_config_reg[1],32.72µm
o_received_data_valid,32.68µm
i_transmit_data[2],32.54µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.start_delay,32.46µm
net211,32.42µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[6\],32.19µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[4\],32.15µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_done,32.02µm
i_transmit_data[4],31.94µm
net30,31.9µm
u_i2c_master_controller.cntrl_fsm.byte_tx_err,31.73µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[0\],31.72µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.state\[2\],31.64µm
_0388_,31.46µm
o_cmd_status_reg[2],31.42µm
net59,31.4µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[1\],31.34µm
o_receive_data[4],31.33µm
_0292_,31.255µm
_0320_,31.22µm
net41,31.18µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[4\],31.12µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[3\],30.67µm
_0344_,30.5µm
u_i2c_master_controller.cntrl_fsm.o_int_out,30.42µm
net17,30.34µm
net105,30.29µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[2\],29.72µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[14\],29.66µm
net10,29.64µm
_0418_,29.6µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.count_threshold\[4\],29.58µm
i_byte_cnt_reg[5],29.43µm
_0459_,29.24µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_en,29.06µm
net115,29.045µm
_0034_,29.02µm
i_transmit_data[3],28.88µm
_0033_,28.82µm
o_receive_data[5],28.75µm
net9,28.72µm
_0446_,28.64µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[7\],28.62µm
_0497_,28.44µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[1\],28.4µm
_0523_,28.24µm
u_i2c_master_controller.cntrl_fsm.byte_tx_done,28.24µm
net39,28.16µm
net151,28.08µm
i_config_reg[5],27.88µm
net55,27.48µm
_0508_,27.18µm
_0379_,27.16µm
_0042_,27.06µm
i_transmit_data[6],27.04µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[1\],26.78µm
_0511_,26.66µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[4\],26.48µm
_0492_,26.36µm
_0337_,26.32µm
net223,26.28µm
net119,26.04µm
o_cmd_status_reg[5],25.82µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[9\],25.74µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[8\],25.74µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.byte_count_i\[6\],25.64µm
o_start_ack,25.4µm
_0338_,25.38µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[8\],25.24µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.byte_count_i\[4\],25.2µm
i_slave_addr_reg[4],25.2µm
net40,25.08µm
net33,25.04µm
_0315_,24.985µm
net42,24.94µm
net57,24.86µm
net289,24.845µm
net52,24.84µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.o_stop_gen_en,24.81µm
_0394_,24.8µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.count_threshold\[6\],24.8µm
net14,24.66µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_slave_addr\[7\],24.6µm
net251,24.56µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.state\[0\],24.52µm
i_slave_addr_reg[1],24.52µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[7\],24.48µm
net54,24.42µm
net204,24.4µm
_0070_,24.38µm
net37,24.34µm
net208,24.3µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[10\],24.28µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[1\],24.11µm
_0361_,24.06µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[12\],23.97µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[8\],23.96µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[4\],23.88µm
_0298_,23.54µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.state\[0\],23.505µm
_0385_,23.42µm
net213,23.38µm
net150,23.22µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i2cbus_busy_i,23.2µm
_0351_,23.18µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[5\],23.18µm
i_slave_addr_reg[2],23.18µm
net48,23.16µm
_0479_,23.06µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[7\],22.98µm
net53,22.96µm
u_i2c_master_controller.cntrl_fsm.tx_err_reg,22.88µm
u_i2c_master_controller.i2cbus_cntrl_fsm.falling_scl_detect.state\[0\],22.88µm
net15,22.86µm
o_receive_data[6],22.53µm
net116,22.44µm
u_i2c_master_controller.cntrl_fsm.intr_clr_reg,22.42µm
u_i2c_master_controller.cntrl_fsm.byte_cnt\[3\],22.34µm
u_i2c_master_controller.cntrl_fsm.tx_done_reg,22.3µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.state\[1\],22.24µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[3\],22.16µm
net154,22.16µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[6\],21.975µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_i2c_master_stop_detect,21.92µm
net36,21.86µm
o_receive_data[2],21.83µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.start_delay,21.78µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.count\[2\],21.76µm
net101,21.74µm
net38,21.58µm
net2,21.48µm
_0495_,21.42µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.byte_count_i\[7\],21.42µm
_0493_,21.24µm
_0470_,21.17µm
i_clk_div_lsb[3],21.17µm
_0396_,21.1µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[7\],21.04µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_gen.delay_gen.count\[10\],21.02µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_slave_addr\[5\],20.71µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_gen.delay_gen.count\[14\],20.68µm
_0295_,20.66µm
net51,20.66µm
_0443_,20.62µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[8\],20.465µm
i_byte_cnt_reg[7],20.45µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.state\[2\],20.3µm
o_cmd_status_reg[6],20.26µm
_0290_,20.16µm
u_i2c_master_controller.cntrl_fsm.byte_rx_fsm.state\[8\],20.04µm
_0426_,20.02µm
_0366_,20.01µm
i_slave_addr_reg[5],19.98µm
