net,length_um
_0233_,6.44µm
_0327_,6.44µm
net259,6.44µm
_0198_,6.42µm
_0161_,6.41µm
_0175_,6.41µm
_0380_,6.4µm
_0383_,6.4µm
net138,6.38µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[5\],6.3µm
_0265_,6.26µm
_0308_,6.26µm
_0055_,6.24µm
_0223_,6.185µm
_0134_,6.18µm
_0373_,6.18µm
net273,6.18µm
_0230_,6.14µm
_0386_,6.14µm
_0427_,6.14µm
_0438_,6.14µm
net218,6.08µm
_0164_,6.07µm
_0267_,5.96µm
_0054_,5.94µm
_0216_,5.94µm
_0372_,5.94µm
_0231_,5.92µm
_0241_,5.92µm
_0128_,5.89µm
net279,5.86µm
_0044_,5.84µm
net263,5.84µm
_0311_,5.8µm
net233,5.8µm
_0177_,5.77µm
_0424_,5.72µm
net153,5.72µm
net22,5.68µm
u_i2c_master_controller.cntrl_fsm.abort_ack_d1,5.68µm
_0106_,5.61µm
net147,5.6µm
_0297_,5.58µm
net267,5.58µm
_0104_,5.56µm
_0130_,5.56µm
_0152_,5.56µm
_0173_,5.56µm
_0197_,5.56µm
_0245_,5.56µm
_0395_,5.56µm
net155,5.52µm
_0032_,5.5µm
_0065_,5.5µm
_0071_,5.5µm
net215,5.49µm
net174,5.48µm
_0036_,5.46µm
_0218_,5.46µm
_0169_,5.44µm
_0155_,5.43µm
_0094_,5.38µm
_0325_,5.38µm
u_i2c_master_controller.i2cbus_cntrl_fsm.i2c_master_start_sda_i,5.38µm
_0079_,5.34µm
_0234_,5.34µm
_0259_,5.34µm
_0260_,5.34µm
u_i2c_master_controller.cntrl_fsm.start_reg1,5.34µm
u_i2c_master_controller.filter_scl.in_d3,5.34µm
_0461_,5.28µm
net253,5.26µm
net270,5.26µm
net272,5.26µm
net278,5.26µm
_0007_,5.255µm
_0046_,5.22µm
_0050_,5.22µm
_0420_,5.22µm
_0448_,5.22µm
net,5.22µm
net161,5.18µm
_0031_,5.14µm
_0488_,5.12µm
net282,5.12µm
_0112_,5.1µm
_0114_,5.1µm
_0157_,5.1µm
_0465_,5.06µm
u_i2c_master_controller.cntrl_fsm.abort_reg1,5.06µm
_0123_,5µm
_0201_,5µm
net205,5µm
net260,5µm
_0522_,4.995µm
_0412_,4.94µm
net198,4.94µm
_0073_,4.92µm
_0271_,4.92µm
_0272_,4.92µm
u_i2c_master_controller.i2cbus_cntrl_fsm.falling_scl_detect.state\[1\],4.92µm
net209,4.92µm
_0153_,4.88µm
_0432_,4.88µm
_0486_,4.88µm
u_i2c_master_controller.cntrl_fsm.tx_err_d1,4.88µm
_0482_,4.82µm
_0060_,4.8µm
net257,4.8µm
_0255_,4.78µm
_0053_,4.76µm
_0331_,4.76µm
net195,4.76µm
_0524_,4.7µm
u_i2c_master_controller.cntrl_fsm.byte_tx_fsm.i_tx_data\[0\],4.69µm
_0451_,4.68µm
_0012_,4.61µm
_0118_,4.61µm
_0097_,4.6µm
_0316_,4.6µm
u_i2c_master_controller.filter_sda.in_d2,4.6µm
_0221_,4.585µm
_0023_,4.58µm
net140,4.58µm
_0107_,4.54µm
_0121_,4.54µm
_0165_,4.54µm
_0211_,4.54µm
_0213_,4.54µm
net231,4.54µm
_0124_,4.51µm
_0086_,4.485µm
_0232_,4.48µm
_0526_,4.48µm
_0004_,4.46µm
_0274_,4.46µm
_0441_,4.46µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.i_i2c_master_start_detect,4.46µm
net261,4.46µm
_0237_,4.44µm
_0122_,4.42µm
_0176_,4.42µm
_0475_,4.42µm
_0502_,4.42µm
net241,4.42µm
_0146_,4.37µm
_0160_,4.37µm
u_i2c_master_controller.filter_sda.in_d3,4.36µm
_0058_,4.34µm
_0430_,4.34µm
u_i2c_master_controller.i2cbus_cntrl_fsm.o_i2c_master_scl,4.34µm
net217,4.34µm
net221,4.34µm
net3,4.24µm
net202,4.22µm
net4,4.2µm
_0226_,4.165µm
_0131_,4.15µm
_0025_,4.14µm
_0460_,4.14µm
net243,4.14µm
u_i2c_master_controller.cntrl_fsm.tx_done_d1,4.12µm
_0081_,4.1µm
_0244_,4.1µm
net225,4.1µm
_0102_,4.08µm
_0148_,4.08µm
_0163_,4.08µm
_0170_,4.08µm
_0250_,4.08µm
net236,4.08µm
net196,4.05µm
_0304_,4.02µm
_0347_,4.02µm
_0417_,4.02µm
_0011_,4µm
_0027_,4µm
_0444_,4µm
net182,4µm
net287,4µm
_0253_,3.98µm
_0273_,3.9µm
_0254_,3.78µm
_0056_,3.76µm
_0187_,3.69µm
_0414_,3.68µm
u_i2c_master_controller.filter_scl.in_d1,3.68µm
u_i2c_master_controller.i2cbus_cntrl_fsm.start_detect.state,3.68µm
net246,3.68µm
_0299_,3.66µm
_0476_,3.66µm
net134,3.66µm
net141,3.66µm
net179,3.66µm
_0111_,3.61µm
_0117_,3.59µm
_0015_,3.56µm
_0018_,3.56µm
_0529_,3.56µm
_0005_,3.54µm
_0051_,3.54µm
_0075_,3.54µm
_0076_,3.54µm
_0264_,3.54µm
_0419_,3.54µm
_0024_,3.52µm
_0166_,3.52µm
_0343_,3.44µm
_0062_,3.42µm
_0063_,3.42µm
_0257_,3.42µm
_0400_,3.42µm
_0455_,3.42µm
_0428_,3.32µm
_0182_,3.3µm
_0196_,3.3µm
_0276_,3.3µm
_0519_,3.3µm
_0119_,3.23µm
_0084_,3.22µm
_0339_,3.2µm
_0517_,3.2µm
_0009_,3.18µm
net200,3.18µm
net191,3.175µm
_0147_,3.15µm
_0333_,3.145µm
_0108_,3.13µm
_0109_,3.13µm
_0236_,3.115µm
_0010_,3.1µm
_0021_,3.1µm
_0026_,3.08µm
u_i2c_master_controller.cntrl_fsm.rx_err_d1,3.08µm
u_i2c_master_controller.filter_sda.in_d1,3.08µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[8\],3.08µm
u_i2c_master_controller.i2cbus_cntrl_fsm.stop_detect.state,3.08µm
net173,3.08µm
net212,3.08µm
net281,3.08µm
_0174_,3.06µm
_0228_,3.005µm
_0207_,2.96µm
_0263_,2.96µm
_0300_,2.96µm
_0328_,2.96µm
net276,2.96µm
_0043_,2.925µm
_0404_,2.885µm
_0506_,2.86µm
_0389_,2.85µm
_0105_,2.84µm
_0113_,2.84µm
_0142_,2.84µm
_0178_,2.84µm
_0185_,2.84µm
_0483_,2.84µm
net1,2.84µm
net135,2.84µm
_0225_,2.785µm
net255,2.76µm
net268,2.76µm
net277,2.76µm
_0059_,2.74µm
net136,2.74µm
net192,2.74µm
_0136_,2.69µm
_0140_,2.69µm
_0074_,2.64µm
_0258_,2.64µm
_0332_,2.64µm
_0219_,2.62µm
_0266_,2.62µm
_0277_,2.62µm
_0353_,2.62µm
net184,2.62µm
net188,2.62µm
net219,2.62µm
_0227_,2.545µm
_0049_,2.5µm
_0179_,2.5µm
_0206_,2.5µm
_0334_,2.5µm
_0469_,2.5µm
_0135_,2.43µm
_0180_,2.43µm
_0436_,2.4µm
_0116_,2.38µm
_0141_,2.38µm
_0149_,2.38µm
_0158_,2.38µm
_0168_,2.38µm
_0181_,2.38µm
_0188_,2.38µm
_0208_,2.38µm
_0314_,2.3µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[1\],2.3µm
net158,2.3µm
net232,2.3µm
net239,2.3µm
net262,2.3µm
net265,2.3µm
_0066_,2.28µm
_0139_,2.28µm
_0199_,2.28µm
net207,2.28µm
_0313_,2.18µm
_0440_,2.18µm
_0067_,2.16µm
_0189_,2.16µm
_0191_,2.16µm
_0256_,2.16µm
_0261_,2.16µm
_0336_,2.16µm
_0358_,2.16µm
_0367_,2.16µm
net132,2.16µm
net143,2.16µm
net199,2.16µm
net286,2.16µm
_0520_,2.07µm
_0082_,2.04µm
_0120_,2.04µm
_0133_,2.04µm
_0154_,2.04µm
_0345_,2.04µm
_0410_,2.04µm
_0447_,2.04µm
net175,2µm
_0504_,1.94µm
_0330_,1.865µm
_0087_,1.84µm
_0095_,1.84µm
_0096_,1.84µm
net252,1.84µm
net258,1.84µm
_0061_,1.82µm
_0064_,1.82µm
_0068_,1.82µm
_0138_,1.82µm
_0144_,1.82µm
_0150_,1.82µm
_0151_,1.82µm
_0210_,1.82µm
_0269_,1.82µm
_0473_,1.82µm
_0501_,1.82µm
_0192_,1.75µm
_0329_,1.72µm
_0442_,1.72µm
_0326_,1.7µm
_0433_,1.7µm
_0518_,1.7µm
u_i2c_master_controller.cntrl_fsm.cntrl_fsm.state\[9\],1.7µm
u_i2c_master_controller.i2cbus_cntrl_fsm.scl_gen.modulus\[7\],1.7µm
net168,1.7µm
net186,1.7µm
_0368_,1.58µm
_0052_,1.38µm
_0307_,1.38µm
_0503_,1.38µm
u_i2c_master_controller.i2cbus_cntrl_fsm.falling_scl_detect.state\[2\],1.38µm
net248,1.38µm
net250,1.38µm
net283,1.38µm
_0069_,1.36µm
_0077_,1.36µm
_0099_,1.36µm
_0125_,1.36µm
_0137_,1.36µm
_0143_,1.36µm
_0186_,1.36µm
_0204_,1.36µm
net229,1.36µm
net245,1.36µm
_0229_,1.26µm
_0294_,0.92µm
_0467_,0.92µm
_0499_,0.46µm
net183,0.46µm
net285,0.46µm
