Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_50_271,VPWR,li1,130.8700,149.6000,1.799996
FILLER_50_268,VPWR,li1,129.4900,149.6000,1.799996
FILLER_50_265,VPWR,li1,128.1100,149.6000,1.799996
FILLER_50_262,VPWR,li1,126.7300,149.6000,1.799996
FILLER_50_259,VPWR,li1,125.3500,149.6000,1.799996
FILLER_50_256,VPWR,li1,123.9700,149.6000,1.799996
FILLER_50_253,VPWR,li1,122.5900,149.6000,1.799996
FILLER_50_251,VPWR,li1,121.2100,149.6000,1.799996
FILLER_50_248,VPWR,li1,120.2900,149.6000,1.799996
FILLER_50_245,VPWR,li1,118.9100,149.6000,1.799996
FILLER_50_242,VPWR,li1,117.5300,149.6000,1.799996
FILLER_50_239,VPWR,li1,116.1500,149.6000,1.799996
FILLER_50_236,VPWR,li1,114.7700,149.6000,1.799996
FILLER_50_233,VPWR,li1,113.3900,149.6000,1.799996
FILLER_50_230,VPWR,li1,112.0100,149.6000,1.799996
FILLER_50_227,VPWR,li1,110.6300,149.6000,1.799996
FILLER_50_224,VPWR,li1,109.2500,149.6000,1.799996
FILLER_50_221,VPWR,li1,107.8700,149.6000,1.799996
FILLER_50_218,VPWR,li1,106.4900,149.6000,1.799996
FILLER_50_215,VPWR,li1,105.1100,149.6000,1.799996
FILLER_50_212,VPWR,li1,103.7300,149.6000,1.799996
FILLER_50_209,VPWR,li1,102.3500,149.6000,1.799996
FILLER_50_206,VPWR,li1,100.9700,149.6000,1.799996
FILLER_50_203,VPWR,li1,99.5900,149.6000,1.799996
FILLER_50_200,VPWR,li1,98.2100,149.6000,1.799996
FILLER_50_197,VPWR,li1,96.8300,149.6000,1.799996
FILLER_50_195,VPWR,li1,95.4500,149.6000,1.799996
FILLER_50_192,VPWR,li1,94.5300,149.6000,1.799996
FILLER_50_189,VPWR,li1,93.1500,149.6000,1.799996
FILLER_50_186,VPWR,li1,91.7700,149.6000,1.799996
FILLER_50_183,VPWR,li1,90.3900,149.6000,1.799996
FILLER_50_180,VPWR,li1,89.0100,149.6000,1.799996
FILLER_50_177,VPWR,li1,87.6300,149.6000,1.799996
FILLER_50_174,VPWR,li1,86.2500,149.6000,1.799996
FILLER_50_171,VPWR,li1,84.8700,149.6000,1.799996
FILLER_50_168,VPWR,li1,83.4900,149.6000,1.799996
FILLER_50_165,VPWR,li1,82.1100,149.6000,1.799996
FILLER_50_162,VPWR,li1,80.7300,149.6000,1.799996
FILLER_50_159,VPWR,li1,79.3500,149.6000,1.799996
FILLER_50_156,VPWR,li1,77.9700,149.6000,1.799996
FILLER_50_153,VPWR,li1,76.5900,149.6000,1.799996
FILLER_50_150,VPWR,li1,75.2100,149.6000,1.799996
FILLER_50_147,VPWR,li1,73.8300,149.6000,1.799996
FILLER_50_144,VPWR,li1,72.4500,149.6000,1.799996
FILLER_50_141,VPWR,li1,71.0700,149.6000,1.799996
FILLER_50_139,VPWR,li1,69.6900,149.6000,1.799996
FILLER_50_136,VPWR,li1,68.7700,149.6000,1.799996
FILLER_50_133,VPWR,li1,67.3900,149.6000,1.799996
FILLER_50_109,VPWR,li1,56.1200,149.6000,1.799996
FILLER_50_106,VPWR,li1,54.9700,149.6000,1.799996
FILLER_50_103,VPWR,li1,53.5900,149.6000,1.799996
FILLER_50_100,VPWR,li1,52.2100,149.6000,1.799996
FILLER_50_83,VPWR,li1,43.9300,149.6000,1.799996
FILLER_50_80,VPWR,li1,43.0100,149.6000,1.799996
FILLER_50_77,VPWR,li1,41.6300,149.6000,1.799996
FILLER_50_74,VPWR,li1,40.2500,149.6000,1.799996
FILLER_50_71,VPWR,li1,38.8700,149.6000,1.799996
FILLER_50_68,VPWR,li1,37.4900,149.6000,1.799996
FILLER_50_65,VPWR,li1,36.1100,149.6000,1.799996
FILLER_50_62,VPWR,li1,34.7300,149.6000,1.799996
FILLER_50_59,VPWR,li1,33.3500,149.6000,1.799996
FILLER_50_56,VPWR,li1,31.9700,149.6000,1.799996
FILLER_50_53,VPWR,li1,30.5900,149.6000,1.799997
FILLER_50_50,VPWR,li1,29.2100,149.6000,1.799997
FILLER_50_26,VPWR,li1,17.9400,149.6000,1.799997
FILLER_50_23,VPWR,li1,16.7900,149.6000,1.799997
FILLER_50_3,VPWR,li1,7.5900,149.6000,1.799997
